,index,holgura
0,"(0, 0, 1)",0.0
1,"(1, 0, 1)",0.0
2,"(2, 0, 1)",0.0
3,"(3, 0, 1)",0.0
4,"(4, 0, 1)",0.0
5,"(5, 0, 1)",0.0
6,"(6, 0, 1)",0.0
7,"(7, 0, 1)",0.0
8,"(8, 0, 1)",0.0
9,"(9, 0, 1)",0.0
10,"(10, 0, 1)",0.0
11,"(11, 0, 1)",0.0
12,"(12, 0, 1)",-1e+28
13,"(13, 0, 1)",0.0
14,"(14, 0, 1)",-1e+28
15,"(15, 0, 1)",0.0
16,"(16, 0, 1)",0.0
17,"(17, 0, 1)",-1e+28
18,"(18, 0, 1)",0.0
19,"(19, 0, 1)",0.0
20,"(20, 0, 1)",0.0
21,"(0, 0, 2)",0.0
22,"(1, 0, 2)",0.0
23,"(2, 0, 2)",0.0
24,"(3, 0, 2)",0.0
25,"(4, 0, 2)",0.0
26,"(5, 0, 2)",0.0
27,"(6, 0, 2)",0.0
28,"(7, 0, 2)",0.0
29,"(8, 0, 2)",0.0
30,"(9, 0, 2)",0.0
31,"(10, 0, 2)",0.0
32,"(11, 0, 2)",0.0
33,"(12, 0, 2)",0.0
34,"(13, 0, 2)",0.0
35,"(14, 0, 2)",0.0
36,"(15, 0, 2)",0.0
37,"(16, 0, 2)",0.0
38,"(17, 0, 2)",0.0
39,"(18, 0, 2)",0.0
40,"(19, 0, 2)",0.0
41,"(20, 0, 2)",0.0
42,"(0, 0, 3)",0.0
43,"(1, 0, 3)",0.0
44,"(2, 0, 3)",0.0
45,"(3, 0, 3)",0.0
46,"(4, 0, 3)",0.0
47,"(5, 0, 3)",0.0
48,"(6, 0, 3)",0.0
49,"(7, 0, 3)",0.0
50,"(8, 0, 3)",0.0
51,"(9, 0, 3)",0.0
52,"(10, 0, 3)",0.0
53,"(11, 0, 3)",0.0
54,"(12, 0, 3)",0.0
55,"(13, 0, 3)",0.0
56,"(14, 0, 3)",0.0
57,"(15, 0, 3)",0.0
58,"(16, 0, 3)",0.0
59,"(17, 0, 3)",0.0
60,"(18, 0, 3)",0.0
61,"(19, 0, 3)",0.0
62,"(20, 0, 3)",0.0
63,"(0, 0, 4)",0.0
64,"(1, 0, 4)",0.0
65,"(2, 0, 4)",0.0
66,"(3, 0, 4)",0.0
67,"(4, 0, 4)",0.0
